Class_Name,Description,Type,id,Professor,,Unit,Attributes,Subject,Number,Unit,mon,tues,wed,thur,fri,start_time,end_time,,,,,,,,,,,,
AMI 246S,SOCIAL MOVEMENTS/SOCIAL MEDIA,lec,1,Negar Mottahedeh,,1,"CCI,EI,STS,C,ALP,CZ",AMI,246,1,FALSE,FALSE,TRUE,FALSE,TRUE,11:45AM,1:00PM,,,,,,,,,,,,
AMI 253,INDIAN CINEMA,lec,1,Satendra Khanna,,1,"CCI,R,C,ALP,CZ",AMI,253,1,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
AMI 269,GLOBAL CHINESE CITIES,lec,1,Carlos Rojas,,1,"CCI,C,ALP,CZ",AMI,269,1,FALSE,TRUE,FALSE,TRUE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AMI 271,CLASSICS OF PAGE AND SCREEN,lec,1,Micaela W Janan,,1,"CCI,C,ALP,CZ",AMI,271,1,TRUE,FALSE,TRUE,FALSE,FALSE,4:40PM,5:55PM,,,,,,,,,,,,
AMI 274,SCREENING COLD WAR ESPIONAGE,lec,1,Beth Holmgren,,1,"CCI,EI,C,ALP,CZ",AMI,274,1,TRUE,FALSE,FALSE,FALSE,FALSE,6:15PM,8:45PM,,,,,,,,,,,,
AMI 277,THE DRAMATIC MONSTER,lec,1,Neal C Bell,,1,"C,ALP",AMI,277,1,FALSE,FALSE,TRUE,FALSE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
AMI 281S,MOTION DESIGN,lec,1,Raquel Salvatella De Prada,,1,,AMI,281,1,FALSE,FALSE,TRUE,FALSE,FALSE,8:30AM,11:00AM,,,,,,,,,,,,
AMI 315S,ENVIRON. ISSUES & THE DOC ARTS,lec,1,Miguel Rojas Sotelo,,1,"C,ALP",AMI,315,1,FALSE,FALSE,TRUE,FALSE,TRUE,10:05AM,11:20AM,,,,,,,,,,,,
AMI 331S,DOC EXPER: A VIDEO APPR,lec,1,Gary Hawkins,,1,"R,C,ALP,SS",AMI,331,1,FALSE,FALSE,TRUE,FALSE,FALSE,10:05AM,12:35PM,,,,,,,,,,,,
AMI 337,CHINATOWNS: A CULTURAL HISTORY,lec,1,Eileen Chow,,1,"CCI,R,C,ALP,CZ",AMI,337,1,FALSE,FALSE,TRUE,FALSE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
AMI 338S,STORYWORLDS,lec,1,Eileen Chow,,1,"CCI,C,ALP,CZ",AMI,338,1,TRUE,FALSE,TRUE,FALSE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AMI 343S,DANCE FOR THE CAMERA,lec,1,Andrea E Woods Valdes,,1,"R,STS,C,ALP",AMI,343,1,FALSE,TRUE,FALSE,TRUE,FALSE,1:25PM,2:40PM,,,,,,,,,,,,
AMI 352S,"TIME, SPACE AND FILM",lec,1,Joshua M Gibson,,1,"R,STS,C,ALP",AMI,352,1,FALSE,FALSE,TRUE,FALSE,FALSE,1:25PM,3:55PM,,,,,,,,,,,,
AMI 356S,16MM FILM PRODUCTION,lec,1,Joshua M Gibson,,1,"C,ALP",AMI,356,1,FALSE,TRUE,FALSE,FALSE,FALSE,1:25PM,4:25PM,,,,,,,,,,,,
AMI 366S,VIDEO JOURNALISM,lec,1,Lynn Owens,,1,"C,ALP,SS",AMI,366,1,FALSE,FALSE,FALSE,FALSE,TRUE,11:45AM,2:15PM,,,,,,,,,,,,
AMI 410S,TRAUMA IN ASIA,lec,1,Nayoung Aimee Kwon,,1,"CCI,C,ALP,CZ",AMI,410,1,FALSE,FALSE,FALSE,TRUE,FALSE,11:45AM,2:15PM,,,,,,,,,,,,
AMI 416S,UNDERSTANDING MEDIATION,lec,1,Markos Hadjioannou,,1,"CCI,C,ALP,CZ",AMI,416,1,FALSE,TRUE,FALSE,TRUE,FALSE,11:45AM,1:00PM,,,,,,,,,,,,
AMI 89S,FIRST YEAR SEMINAR (TOP),lec,1,Johanna (Jody) McAuliffe,,1,,AMI,89,1,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
ARABIC 101,ELEMENTARY ARABIC,lec,1,Mbaye B Lo,,1,FL,ARABIC,101,1,TRUE,FALSE,TRUE,FALSE,FALSE,8:30AM,9:45AM,,,,,,,,,,,,
ARABIC 101,ELEMENTARY ARABIC,lec,2,Mbaye B Lo,,1,FL,ARABIC,101,1,TRUE,FALSE,TRUE,FALSE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
ARABIC 101,ELEMENTARY ARABIC,lec,3,Amal Boumaaza,,1,FL,ARABIC,101,1,TRUE,FALSE,TRUE,FALSE,FALSE,1:25PM,2:40PM,,,,,,,,,,,,
ARABIC 101,ELEMENTARY ARABIC,lec,4,Departmental Staff,,1,FL,ARABIC,101,1,TRUE,FALSE,TRUE,FALSE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
ARABIC 101,ELEMENTARY ARABIC,dis,1,Cheikh Saadbouh Cheikh Abdi ValL,,1,FL,ARABIC,101,0,FALSE,TRUE,FALSE,TRUE,FALSE,8:30AM,9:20AM,,,,,,,,,,,,
ARABIC 101,ELEMENTARY ARABIC,dis,2,Departmental Staff,,1,FL,ARABIC,101,0,FALSE,TRUE,FALSE,TRUE,FALSE,10:05AM,10:55AM,,,,,,,,,,,,
